Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 99  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 99  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 101  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 101  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 101  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 106  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 106  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/js/h5p-content-upgrade-process.js  	 bug  	 118  	javascript:S2757
Amaia_Anabitarte  	 /moodle/lib/h5p/js/h5p-version.js  	 bug  	 14  	javascript:S2757
Amaia_Anabitarte  	 /moodle/lib/h5p/js/h5p-version.js  	 bug  	 15  	javascript:S2757
Amaia_Anabitarte  	 /moodle/lib/h5p/js/h5p-version.js  	 bug  	 20  	javascript:S2757
Amaia_Anabitarte  	 /moodle/lib/h5p/js/h5p-version.js  	 bug  	 21  	javascript:S2757
Amaia_Anabitarte  	 /moodle/lib/h5p/js/h5p-version.js  	 bug  	 24  	javascript:S2757
Amaia_Anabitarte  	 /moodle/lib/h5p/js/h5p-version.js  	 bug  	 25  	javascript:S2757
Tim_Hunt  	 /moodle/mod/quiz/tests/behat/behat_mod_quiz.php  	 bug  	 54  	php:S3923
Damyon_Wiese  	 /moodle/calendar/lib.php  	 bug  	 2224  	php:S1763
Matt_Porritt  	 /moodle/media/player/videojs/amd/src/video-lazy.js  	 bug  	 7399  	javascript:S3981
Matt_Porritt  	 /moodle/media/player/videojs/amd/src/video-lazy.js  	 bug  	 7506  	javascript:S2259
Tom_Dickman  	 /moodle/media/player/videojs/amd/src/video-lazy.js  	 bug  	 5004  	javascript:S3785
Tom_Dickman  	 /moodle/media/player/videojs/amd/src/video-lazy.js  	 bug  	 5236  	javascript:S3785
Tom_Dickman  	 /moodle/media/player/videojs/amd/src/video-lazy.js  	 bug  	 21718  	javascript:S2259
Matt_Porritt  	 /moodle/media/player/videojs/amd/src/video-lazy.js  	 bug  	 35884  	javascript:S2259
Matt_Porritt  	 /moodle/media/player/videojs/amd/src/video-lazy.js  	 bug  	 38122  	javascript:S1143
Tom_Dickman  	 /moodle/media/player/videojs/amd/src/video-lazy.js  	 bug  	 51629  	javascript:S3403
Tom_Dickman  	 /moodle/media/player/videojs/amd/src/video-lazy.js  	 bug  	 51665  	javascript:S3403
David_Monllaó  	 /moodle/analytics/classes/calculation_info.php  	 bug  	 147  	php:S836
Ryan_Wyllie  	 /moodle/lib/babel-polyfill/polyfill.js  	 bug  	 585  	javascript:S2259
Ryan_Wyllie  	 /moodle/lib/babel-polyfill/polyfill.js  	 bug  	 3063  	javascript:S2137
Ryan_Wyllie  	 /moodle/lib/babel-polyfill/polyfill.js  	 bug  	 3772  	javascript:S2583
Ryan_Wyllie  	 /moodle/lib/babel-polyfill/polyfill.js  	 bug  	 3772  	javascript:S3403
Ryan_Wyllie  	 /moodle/lib/babel-polyfill/polyfill.js  	 bug  	 6485  	javascript:S2137
Ryan_Wyllie  	 /moodle/message/amd/src/message_drawer_view_conversation_patcher.js  	 bug  	 193  	javascript:S2583
Ryan_Wyllie  	 /moodle/message/amd/src/message_drawer_view_conversation_patcher.js  	 bug  	 194  	javascript:S2583
Andrew_Nicols  	 /moodle/enrol/database/tests/sync_test.php  	 bug  	 104  	php:S836
Damyon_Wiese  	 /moodle/badges/classes/badge.php  	 bug  	 254  	php:S1763
Damyon_Wiese  	 /moodle/badges/classes/badge.php  	 bug  	 311  	php:S1763
Marina_Glancy  	 /moodle/lib/form/course.php  	 bug  	 108  	php:S836
Andrew_Nicols  	 /moodle/mod/forum/classes/local/exporters/group.php  	 bug  	 91  	php:S836
Andrew_Nicols  	 /moodle/mod/forum/classes/local/exporters/group.php  	 bug  	 93  	php:S836
Andrew_Nicols  	 /moodle/mod/forum/deprecatedlib.php  	 bug  	 1638  	php:S836
